Id,A01,A02,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,C01,C02,C03,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15,D16,D17,E01,F01,F02,F03,F04,F05,F06,F07,F08
1,1.72714,1.65474,-1.09771,-1.24411,-1.43564,-0.376851,0.574999,0.730206,-0.859501,0.613872,-0.0006379705,-0.42567,0.326276,1.28341,0.260533,-0.247223,0.37333040256513,0.343297,0.900679,-1.8749,0.110853,-2.14773,-1.06534,0.291275,0.485545,-0.0307033,0.0644656,0.0968873,-0.0420667,0.0909275,0.0364038,-0.0259098,-0.0346906,-0.0761416,-0.119019,0.031301,0.0556411,-0.0235387,0.0472022,0.00357319,0.775531,0.575229,0.075884,0.363873,0.554989,0.0334212,0.807272,0.800452,0.861571,0,0,0,-1.90367,-0.755047,-0.41294
6,1.20505,0.296842,-1.26587,-0.285456,-0.15017,-0.00405441,1.08412,-1.03978,0.19063,1.05938,0.534187,0.145579,-0.951917,-0.168384,-0.0994591,-2.01862,0.118709,0.0134121,-1.31369,-0.0279793,0.777201,-1.72146,-1.99812,1.73218,-1.98247,-1.17354,-0.103334,-0.0854671,-0.0123928,-0.0760874,0.12267,-0.0469472,0.0708255,0.025333,-0.0490259,0.0396587,0.0322046,-0.038788,-0.0489557,-0.0378614,-0.83156,0.211762,0.00552527,0.340464,0.800078,0.265822,0.396478,0.223732,0.199441,0,0,0,-1.84947,0.541212,-0.57924
9,-1.13231,0.307465,-0.0486532,-0.00751254,0.801982,0.0380141,0.515885,-0.418177,0.0825891,0.940683,1.0747,1.79831,0.658646,-0.954989,0.922123,-1.79041,0.000449156,0.00341673,0.781843,-0.959706,0.888815,0.633445,-0.00480908,0.0883484,1.22111,0.69173,0.0568263,-0.0156869,0.0148792,0.0341321,-0.0206268,0.0893836,-0.0964743,0.0353249,0.0133069,0.0454091,0.0084592,-0.029906,0.100794,-0.0391714,1.2,0.131386,0.132647,0.580234,0.906048,0.174916,0.246667,0.0706854,0.258877,0,0,0,-2.47964,-1.80493,0.764894
12,-0.954363,-0.720769,-0.987462,-0.00751254,-0.199311,0.773217,0.440916,0.943336,0.5587,-1.72798,-0.806496,-0.33098,0.854073,1.1193,0.923518,-0.962399,0.204848,-0.679889,-0.139566,-0.0766752,0.003279085,0.00241088,-0.517915,1.86324,-0.0762206,0.131434,0.0901099,-0.0183018,0.0422753,0.0201124,0.030639,-0.0396883,-0.0686758,-0.154153,0.0275502,-0.0125298,-0.0496752,-0.0245325,-0.00848695,-0.026318,0.141018,0.826122,0.95495,0.729105,0.0638351,0.869053,0.539819,0.580451,0.511207,0,0,0,-1.76604,-1.55868,-1.3114
13,-0.535508,-0.52908,-0.681735,-0.0239051,0.152597,-0.00405441,0.261951,-0.277629,1.02178,-1.30379,0.677249,0.480057,-0.213977,0.0902845,-0.569297,-2.0561,0.215238,0.649046,0.238653,0.059108,0.457152,0.711012,0.00719943,0.0932637,-1.5537,-0.426444,0.0700919,0.130168,-0.00381589,-0.0714285,-0.0198368,-0.0397791,0.0599288,-0.0548023,-0.00160149,-0.0365227,0.000888753,-0.0300001,0.0346286,-0.000488789,-0.774024,0.0107751,0.906981,0.458802,0.532373,0.216771,0.4006,0.741049,0.992279,0,0,0,-1.73897,0.225965,0.36093
15,0.124015,-0.384915,0.780509,0.0196032,-0.148833,-0.102074,-1.08682,-1.33664,-1.7709,-0.0489889,0.965598,0.820423,0.229443,-0.766326,0.0013667,-0.253121,1.20217,0.476868,-0.0714124,0.169152,-1.6284,-0.617575,0.240113,-0.554089,-0.373687,-0.384608,0.155917,0.0547296,-0.0599301,0.0894399,0.0209901,0.00066785,-0.0320265,-0.0456086,0.0302827,0.0658648,0.0291485,-0.0372955,0.00420796,-0.0950209,0.588366,0.403262,0.126174,0.766309,0.0697089,0.282872,0.335775,0.831778,0.472666,0,0,0,-1.8287,-0.0291742,-1.62104
26,-0.560074,-0.269899,-0.0123152,-1.0161,-0.752733,-0.00405441,-0.398854,-0.813537,-0.217313,1.68618,-2.29822,0.49474,0.575973,0.0042206,1.12747,0.353056,0.000449156,1.04181,-0.490656,-0.196814,0.925965,0.27624,-0.883042,-0.258921,1.43897,0.49045,0.0847973,0.0927153,0.0792278,0.0173327,-0.00364733,-0.00349562,-0.0172849,-0.0237025,-0.0235449,-0.0168728,0.0184928,0.00886324,0.0856218,0.0799654,1.42194,0.294795,0.325444,0.637159,0.727618,0.273431,0.268606,0.696627,0.419338,0,0,0,-0.331048,-0.192682,1.11866
29,0.437003,-0.344763,-0.108571,-0.703517,-0.105399,0.0586031,0.111269,-0.62136,2.42432,-0.005902415,0.725509,-1.5659,-0.146264,-0.469242,0.0013667,0.364185,0.699167,-0.447363,0.004272155,0.241446,-0.402062,-0.134789,-1.18432,-1.31848,0.110912,-0.684212,-0.110203,-0.127604,0.042062,0.0124061,0.0455571,-0.0552602,0.0334127,-0.0081414,-0.145633,0.0813624,0.0172489,-0.0627596,0.0853613,-0.0318972,0.358456,0.893855,0.91796,0.133951,0.758223,0.780039,0.499684,0.690771,0.601425,0,0,0,-0.419756,0.0893977,-1.39379
37,0.414849,-0.232871,0.407374,0.494664,2.4662,-0.100946,0.308612,0.552613,-1.92575,-1.2141,-0.45502,-0.472631,-1.28723,-0.0829545,-0.664457,-0.179644,0.000449156,-0.603458,-0.44883,0.109928,1.11036,1.06624,1.27253,-2.04903,-0.589987,1.90855,0.0726974,-0.0680924,0.0217271,-0.00937205,0.0512888,0.0115298,0.134965,0.0833461,-0.160922,-0.0898691,0.000386759,0.00687102,-0.0331692,-0.0172674,-0.108304,0.574899,0.668247,0.461801,0.571093,0.746839,0.482309,0.820227,0.633233,0,0,0,-2.26129,1.33588,-2.02143
40,-0.116085,-0.208339,-1.02638,1.09319,-1.69037,-2.24551,-0.800448,-0.272133,0.494991,0.75103,-0.0006379705,0.0822189,-1.9768,-0.947603,0.557067,-0.114198,0.000449156,0.261063,-1.43864,0.00854248,0.759472,0.208954,0.173041,-0.526066,1.17131,-0.0796582,0.112103,0.0700046,-0.0508457,0.084872,0.0665136,-0.0451295,0.0255277,-0.0489759,0.0654398,-0.0915317,0.0296045,-0.0985722,-0.0382352,-0.00274954,-0.187889,0.549136,0.582371,0.180982,0.903839,0.802305,0.803115,0.0429923,0.152688,0,0,0,-1.98251,0.291297,0.104347
